Rank,Name,Country,Choose Interval,Octagon,Skittlez,Day 1,Signals,Ramen,Jump Civilization,Day 2,Total Score,medal
1,Rareș Felix Tudose,Romania,86,46,100,232,100,100,33,233,465,gold
2,Boris Mihov,Bulgaria,7,84,72,163,100,100,81,281,444,gold
3,Rareș-Andrei Neculau,Romania,100,55,28,183,100,20,44,164,347,gold
4,Vesselin Markovich,Bulgaria,52,55,72,179,100,20,44,164,343,gold
5,Andrei Paul Iorgulescu,Romania,7,55,72,134,100,20,81,201,335,gold
6,Ștefan Cătălin Savu,Romania,52,55,72,179,100,5,44,149,328,gold
7,Matei Neacșu,Romania,7,55,100,162,100,20,44,164,326,gold
8,Tudor-Ștefan Mușat,Romania,52,26,72,150,100,20,44,164,314,gold
9,Maxim Mircea Rebengiuc,Romania,7,26,72,105,100,100,6,206,311,gold
10,Tiberiu-Ștefan Cozma,Romania,52,26,72,150,100,5,44,149,299,gold
11,Alexandru Dima,Romania,7,55,72,134,100,20,44,164,298,gold
12,Roland Petrean,Romania,52,0,72,124,100,20,44,164,288,gold
13,Alexander Gatev,Bulgaria,7,55,72,134,100,5,44,149,283,gold
14,Maksym Shvedchenko,Ukraine,7,55,72,134,100,5,33,138,272,gold
15,Chenglin Shang,Romania,52,55,100,207,15,5,44,64,271,gold
16,Dino Hadžić,Croatia,100,46,28,174,47,5,44,96,270,gold
17,Mihai-Valeriu Voicu,Romania,7,55,72,134,47,40,44,131,265,silver
18,Iulian-George Arsenoiu,Romania,31,55,28,114,100,5,44,149,263,silver
19,Daniel Koynov,Bulgaria,7,55,28,90,100,20,44,164,254,silver
20,Alexandru Mateescu,Romania,0,26,72,98,100,5,44,149,247,silver
21,Petar Mihov,Bulgaria,7,26,72,105,100,20,17,137,242,silver
22,Cristian Luchian,Romania,7,55,72,134,85.5,5,17,107.5,241.5,silver
23,Alin Popescu,Moldova,7,55,28,90,100,5,44,149,239,silver
23,Bendegúz Péter Vámosi,Hungary,7,55,28,90,100,5,44,149,239,silver
23,Gergely Péter Sánta,Hungary,7,55,28,90,100,5,44,149,239,silver
23,Saba Peradze,Georgia,7,55,28,90,100,5,44,149,239,silver
23,Stepan Simak,Ukraine,7,55,28,90,100,5,44,149,239,silver
28,Illia Shevchenko,Ukraine,7,9,72,88,100,5,44,149,237,silver
29,Nazar Vyshniak,Ukraine,52,9,28,89,100,0,44,144,233,silver
30,Andrej Ševera,Switzerland,0,55,28,83,100,5,44,149,232,silver
30,Luca-Mihai Ilie,Romania,0,55,28,83,100,5,44,149,232,silver
32,Davit Dzadzamia,Georgia,52,55,28,135,47,5,17,69,204,silver
33,David-Ioan Curcă,Romania,7,9,72,88,100,5,6,111,199,silver
34,Teodor Luchianov,Romania,7,17,51,75,100,5,17,122,197,silver
35,Daria Perekopska,Ukraine,7,55,28,90,57.5,5,44,106.5,196.5,silver
36,Elisa Ipate,Romania,7,55,28,90,100,0,6,106,196,silver
37,Aleksandar Pendov,Bulgaria,52,55,28,135,10,5,44,59,194,silver
38,Dmytro  Strakhal,Ukraine,7,9,28,44,100,5,44,149,193,silver
39,Vince Ungár,Hungary,7,26,7,40,100,5,44,149,189,silver
39,Vlad-Alexandru Burac,Romania,7,26,7,40,100,5,44,149,189,silver
41,David Constantin Țurcanu,Romania,7,55,28,90,47,5,44,96,186,silver
42,Zsolt Mihály,Hungary,7,0,28,35,100,5,44,149,184,silver
43,Luca Valentin Mureșan,Romania,7,9,28,44,100,5,33,138,182,silver
44,Mihai-Adrian Mocanu,Romania,7,26,28,61,69.5,5,44,118.5,179.5,silver
45,Serkan Rashid,Bulgaria,7,26,7,40,100,5,33,138,178,silver
46,Dobromir Angelov,Bulgaria,7,55,51,113,15,5,44,64,177,silver
47,Luca Baglietto,Italy,0,26,0,26,100,5,44,149,175,silver
48,Rareş Drăguşanu,Romania,0,55,7,62,100,5,6,111,173,silver
49,Denislav Manev,Bulgaria,7,9,7,23,100,5,44,149,172,bronze
49,Tudor Iacob,Romania,7,9,7,23,100,5,44,149,172,bronze
51,Alexandru Dumitru,Romania,7,0,0,7,100,20,44,164,171,bronze
52,Tudor-Cătălin Voicu,Romania,7,55,28,90,31,5,44,80,170,bronze
