Andrei-Costin,Constantinescu,Head Coordinator,ETH Zürich
Adrian,Panaete,,A.T.Laurian National College Botoșani
Tamio-Vesa,Nakajima,,University of Oxford
Alexandra Maria,Udristoiu,,University of Bucharest
Vlad-Alexandru,Gavrila-Ionescu,,University of Cambridge
Matei,Tinca,,Vrije Universiteit Amsterdam
George,Rapeanu,,Bábes-Bolyai University
Andrei,Cotor,,Babes-Bolyai University
Alex,Pop,,Bábes-Bolyai University
Mircea,Donciu,,University of Bucharest
Ruxandra,Nanu,,University of Oxford
Ionel-Vasile,Pit-Rada,,Traian National College Drobeta Turnu Severin
Alexandru,Petrescu,,University of Oxford
