NAME,COUNTRY,MEDAL
Tuan Nguyen Huu,Vietnam,Gold
Mihai-Valeriu Voicu,Romania,Gold
Andrei Paul Iorgulescu,Romania,Gold
Thanh Nguyen Xuan Chi,Vietnam,Gold
Alexandru Dima,Romania,Gold
Andrey Stefanov,Bulgaria,Gold
Krzysztof Witkowski,Poland,Gold
Ştefan-Cătălin Savu,Romania,Gold
Michał Wolny,Poland,Gold
Luca Valentin Mureșan,Romania,Gold
Roland Petrean,Romania,Gold
Piotr Dybich,Poland,Gold
Stanisław Lada,Poland,Gold
Samuel Șoimaru,Romania,Gold
Matei Neacșu,Romania,Gold
Daria Perekopska,Ukraine,Gold
Chenglin Shang,Romania,Gold
Huy Thyeu Nguyen,Vietnam,Gold
Dmytro Strakhal,Ukraine,Gold
Nikoloz Melikishvili,Georgia,Gold
Dung Nguyen Bui Duc,Vietnam,Gold
Roman Sadovnikov,Ukraine,Silver
Derrick Lukimin,Singapore,Silver
Duy Minh Nguyen,Vietnam,Silver
Illia Shevchenko,Ukraine,Silver
Yi Xiang Tey,Singapore,Silver
Hieu Ta Minh,Vietnam,Silver
Mate Rekhviashvili,Georgia,Silver
Rareș Hanganu,Romania,Silver
Lazaros Karageorgiou,Greece,Silver
Vladyslav Khalin,Ukraine,Silver
Vlad-Mihai Tutunaru,Romania,Silver
Horia-Andrei Boeriu,Romania,Silver
Saba Peradze,Georgia,Silver
Ryan Shaw,Singapore,Silver
Stefan Šebez,Serbia,Silver
Kien Mai Thanh,Vietnam,Silver
Alin Popescu,Moldova,Silver
Yi Kai Wong,Singapore,Silver
Khoa Le Pham Duy,Vietnam,Silver
Rareș-Andrei Neculau,Romania,Silver
Nicola Dindo,Italy,Silver
Duc Truong Minh,Vietnam,Silver
Horka Fajszi,Hungary,Silver
Mircea Maxim Rebengiuc,Romania,Silver
Theodoros Sarras,Greece,Silver
Iustin Mircea,Romania,Silver
Vladimeri Prangishvili,Georgia,Silver
Marian Shyika,Ukraine,Silver
Simona Hristova,Bulgaria,Silver
Minh Hoang Pham,Vietnam,Silver
Martin Chavdarov,Bulgaria,Silver
Duc Manh Bui,Vietnam,Silver
Minh Nguyen Nhat,Vietnam,Silver
Petar Banović,Serbia,Silver
Nermin Idiriz,Bulgaria,Silver
Alexandru Dumitru,Romania,Silver
Andrei Nemțișor,Romania,Silver
Nguyen Tuan Luu,Vietnam,Silver
Andria Vasadze,Georgia,Silver
Vince Ungár,Hungary,Silver
Denislav Manev,Bulgaria,Silver
Ioan-Ștefan Petrescu,Romania,Bronze
Fabian-Ștefan Despa,Romania,Bronze
Vladislav Kostov,Bulgaria,Bronze
Andrii Kuzma,Ukraine,Bronze
Hieu Tran Huu Duc,Vietnam,Bronze
Ianis Belu,Romania,Bronze
Ștefan Constantin Neagu,Romania,Bronze
Wu Hao,Singapore,Bronze
Aleksandar Pendov,Bulgaria,Bronze
Alex-Ioan Mihai,Romania,Bronze
Traian Danciu,Romania,Bronze
Kiril Zulyamski,Bulgaria,Bronze
Bendegúz Péter Vámosi,Hungary,Bronze
Davit Dzadzamia,Georgia,Bronze
Filip Repman,Serbia,Bronze
Roman Mielamud,Ukraine,Bronze
Saba Goduadze,Georgia,Bronze
Spyridon Alivizatos,Greece,Bronze
Khoi Anh Nguyen Sy,Vietnam,Bronze
Dimitrije Atanasković,Serbia,Bronze
Luka Heric,Slovenia,Bronze
Ema-Nicole Gheorghe,Romania,Bronze
Vsevolod Fatieiev,Ukraine,Bronze
Anna Kazhamiakina,Italy,Bronze
Cezar-Luca Mironov,Romania,Bronze
Matei Ştefan Iordache,Romania,Bronze
Emilian Carnu,Romania,Bronze
Kaloyan Varbanov,Bulgaria,Bronze
Yavor Vasilev,Bulgaria,Bronze
Nhan Nguyen Viet Trung,Vietnam,Bronze
Anton Perebyinis,Ukraine,Bronze
Laura Moldovan,Romania,Bronze
Elitsa Stoyanova,Bulgaria,Bronze
Phuong Vu Danh,Vietnam,Bronze
Flaviu Dimitriu,Romania,Bronze
Radu Mocănaşu,Romania,Bronze
Trung Nguyen Thien,Vietnam,Bronze
David-Ioan Curca,Romania,Bronze
Matei Tomiță,Romania,Bronze
Otar Tsibadze,Georgia,Bronze
Boris Angelov,Bulgaria,Bronze
Mihail Mihalev,Bulgaria,Bronze
Daniel Getov,Bulgaria,Bronze
Giorgi Bulauri,Georgia,Bronze
Alexandru Tigau,Romania,Bronze
Duc Le Minh,Vietnam,Bronze
Vid Furlan,Slovenia,Bronze
Teodor-Mihai Stupariu,Romania,Bronze
Preslav Toshev,Bulgaria,Bronze
Sorin Gabără,Romania,Bronze
Tiberiu Mihai Enache,Romania,Bronze
David-Constantin Turcanu,Romania,Bronze
Mihnea Petru Apostol,Romania,Bronze
Gerasimos Vandoros,Greece,Bronze
Boyan Boyadzhiev,Bulgaria,Bronze
Rares Dragusanu,Romania,Bronze
Paul Ion,Romania,Bronze
Alexei Baca,Moldova,Bronze
Dominic Mohanu,Romania,Bronze
Gergely Lehotai,Hungary,Bronze
Weilian Chen,Singapore,Bronze
Tetiana Zadniprovska,Ukraine,
Marian Nicolae Pîrlog,Romania,
Valentin Filipov,Bulgaria,
Tudor Maftei,Romania,
Tudor Andrei Horobeanu,Romania,
Matvii Grytsyna,Ukraine,
Alexandru Șerban,Romania,
Iulia Morariu,Romania,
Giorgi Maisuradze,Georgia,
Rareș Buruiană,Romania,
Giacomo Di Leo,Italy,
Keishi Miyazaki,Singapore,
Daniel Todorov,Bulgaria,
Alessandro Damiani,Italy,
Hung Trinh Le,Vietnam,
Mihai Cosmin Boac,Romania,
Radu Vasile,Romania,
Nikola Manolov,Bulgaria,
Nhan Nguyen Phu,Vietnam,
Bozhan Ivanov,Bulgaria,
Alexandru Mateescu,Romania,
Diana Ștefania Costea,Romania,
Viktor Vanev,Bulgaria,
Martin Nedev,Bulgaria,
Feyza-Nur Ibrahimova,Bulgaria,
Mihnea-Teodor Stoica,Romania,
Zdravko Nikolov,Bulgaria,
Mitja Ševerkar,Slovenia,
Olesia Denha,Ukraine,
Gvantsa Khvedelidze,Georgia,
Alexander Vulchev,Bulgaria,
Mihai Ariton,Romania,
Damyan Svobodnikov,Bulgaria,
Nikolay Valchanov,Bulgaria,
Octavian Harcel,Moldova,
Horia Mihai Haivas,Romania,
Vladyslav Zabolotnyi,Ukraine,
Andrei Călin Vasile,Romania,
Ilinca-Rucsandra Radu,Romania,
Tudor Cocu,Romania,
Bogdan Varbanov,Bulgaria,
Illia Denysiuk,Ukraine,
Andrei Suna,Romania,
Gabriel Pagliaruzzi,Slovenia,
Radu Gabriel Biclineru,Romania,
Yu Chi Chen,Singapore,
Andrii Tatarinov,Ukraine,
Anastasia Corsac,Moldova,
Matei Lupu,Romania,
Cristian Horatiu Avram Popa,Bucharest,
Andrei Mateescu,Romania,
Vu Ha Phuoc,Vietnam,
Dan Ho Khanh,Vietnam,
Alexandra-Iulia Guiman,Romania,
Tihomir Ivanov,Bulgaria,
Ivan Kolev,Varna_A,
Serkan Rashid,Bulgaria,
Alexander Vladimirov,Varna_BC,
Yaroslav Savyshyn,Ukraine,
Mykhailo Isak,Ukraine,
Yordan Tsokanov,Bulgaria,
Dimitar Shapatov,Bulgaria,
Vlad Andrei Dobromir,Romania,
Alexandr Ivancichin,Moldova,
Teodor Vrânceanu,Romania,
Andrei Pana,Romania,
Kiet Le Tuan,Vietnam,
Vlad Mihai Neguț,Romania,
Andrei Icriverzi,Romania,
Viktor Slavchev,Bulgaria,
Andrii Ryzhanskyi,Ukraine,
Robert Barbuta,Moldova,
Ruxandra Niculina Vasilescu,Romania,
Dimitrie Matei Andronache,Romania,
Maria Bertolon,Romania,
David-Matei Popa,Romania,
Briana Maria Bucur,Romania,
Hlib Tataryntsev,Ukraine,
Radu Stefan Arghira,Romania,
Yurii Koss,Ukraine,
Matei-Theodor Grosu,Romania,
Maya Banalieva,Varna_A,
Valentina Nikolova,Bulgaria,
Luca Georgescu,Romania,
Andreea Sandrean,Moldova,
Mykola Zaiets,Ukraine,
Maksym Fedyk,Ukraine,
Radoslav Dimitrov,Bulgaria,
